id,municipality,school,ownership,ownershipCategory,grades,specialSchool,pupils,registryUpdated,testGrade,testYear,reading,maths,english,readingUncertainty,mathsUncertainty,englishUncertainty,surveyGrade,wellbeing,wellbeingYear,bullying,bullyingYear,bullyingStatus,pupilsPerTeacher,teacherRatioYear,grade10Points,pointsYear,notes,sourceUrl,organisationNumber,showOnMap,excelRowVisible,latitude,longitude,address,sourceWorkbookRow
974611147,Sandnes,Kyrkjevollen skole,Offentlig,public,1–7,False,313,2026-09-13,5,2025-26,45,46,47,2.1,2.5,2.9,7,4.3,2025-26,15.4,2025-26,Published,15.17,2025-26,,,,https://skoleoversikten.no/skoler/974611147/kyrkjevollen-skole,974611147,False,False,58.92704,5.83925,"Kamskjellveien 2, 4310 HOMMERSÅK",94
974610809,Sandnes,Figgjo skole,Offentlig,public,1–10,False,360,2026-09-13,5,2025-26,42,46,48,2.5,3.7,2.8,7,4.3,2025-26,11.1,2023-24,Suppressed,12.56,2025-26,42.9,2025-26,Bullying uses older published year,https://skoleoversikten.no/skoler/974610809/figgjo-skole,974610809,False,False,58.78729,5.80561,"Åslandsbakken 22, 4332 FIGGJO",95
918535705,Stavanger,Biss Sentrum AS,Privat,private,1–10,False,231,2026-09-13,5,2025-26,41,46,57,3.2,3.5,2.9,7,3.7,2025-26,,,Suppressed,11.09,2025-26,44.3,2025-26,Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/918535705/biss-sentrum-as,918535705,False,False,58.97514,5.71299,"Tanke Svilands gate 73, 4007 STAVANGER",96
974610744,Sandnes,Trones skole,Offentlig,public,1–7,False,408,2026-09-13,5,2025-26,46,45,51,2.9,2.9,2.9,7,4.2,2025-26,11.8,2025-26,Published,12.57,2025-26,,,,https://skoleoversikten.no/skoler/974610744/trones-skole,974610744,False,False,58.85623,5.73342,"Postveien 65, 4307 SANDNES",97
975275574,Sola,Haga skole,Offentlig,public,1–7,False,380,2026-09-13,5,2025-26,46,45,48,2.3,2.7,2.7,7,4,2025-26,10.6,2025-26,Published,16.55,2025-26,,,,https://skoleoversikten.no/skoler/975275574/haga-skole,975275574,False,False,58.93771,5.6033,"Tananger Ring 3, 4056 TANANGER",98
974611414,Stavanger,Buøy skole,Offentlig,public,1–7,False,125,2026-08-12,5,2025-26,43,45,49,2.5,2.5,4.1,7,4.4,2025-26,,,Suppressed,12.82,2025-26,44.1,2014-15,,https://skoleoversikten.no/skoler/974611414/buoy-skole,974611414,False,False,58.98568,5.73477,"Skipsbyggergata 19A, 4077 HUNDVÅG",99
986978070,Sandnes,Sandnes friskole AS,Privat,private,1–10,False,171,2026-09-13,5,2025-26,46,44,,4.9,5.6,,7,4.5,2025-26,,,Suppressed,14.81,2025-26,44.5,2025-26,Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/986978070/sandnes-friskole-as,986978070,False,False,58.82388,5.71712,"Elveosen 8, 4323 SANDNES",100
974610779,Sandnes,Malmheim skole,Offentlig,public,1–7,False,100,2026-09-13,5,2025-26,44,43,43,3.8,5.5,4.3,7,3.6,2025-26,,,Suppressed,11.26,2025-26,,,,https://skoleoversikten.no/skoler/974610779/malmheim-skole,974610779,False,False,58.83321,5.66012,"Killinglandveien 24, 4312 SANDNES",101
915121624,Sandnes,Sandnes International School AS,Privat,private,1–10,False,164,2026-09-13,5,2025-26,,,55,,,2.6,7,3.9,2024-25,,,Not available,13.88,2025-26,45,2025-26,Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/915121624/sandnes-international-school-as,915121624,False,False,58.88292,5.74173,"Prinsens vei 8, 4315 SANDNES",102
974154307,Stavanger,Steinerskolen Stavanger grunnskole,Privat,private,1–10,False,187,2026-09-13,5,2025-26,,,53,,,4.5,7,4.2,2025-26,31.8,2024-25,Suppressed,17.98,2025-26,,,Bullying uses older published year; Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/974154307/steinerskolen-stavanger-grunnskole,974154307,False,False,58.93885,5.73421,"Skolevollen 19, 4017 STAVANGER",103
976207270,Sandnes,Vatneli skole,Privat,private,1–10,False,59,2026-07-15,5,,,,,,,,7,4,2025-26,,,Suppressed,9.28,2025-26,37.5,2025-26,Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/976207270/vatneli-skole,976207270,False,False,58.8592,5.77235,"Vatneliveien 79, 4309 SANDNES",104
986836195,Stavanger,Ombo oppvekstsenter Avdeling skule,Offentlig,public,1–7,False,19,2026-09-13,5,,,,,,,,7,4.4,2025-26,,,Suppressed,6.8,2025-26,,,,https://skoleoversikten.no/skoler/986836195/ombo-oppvekstsenter-avdeling-skule,986836195,False,False,59.23545,5.94584,"Eidevegen 2, 4187 OMBO",105
975275345,Stavanger,Fogn oppvekstsenter Avdeling skule,Offentlig,public,1–7,False,28,2026-09-13,5,,,,,,,,7,,,,,Suppressed,8.6,2025-26,,,,https://skoleoversikten.no/skoler/975275345/fogn-oppvekstsenter-avdeling-skule,975275345,False,False,59.13848,5.90267,"Liane 1, 4164 FOGN",106
974611384,Stavanger,Vassøy skole,Offentlig,public,1–7,False,59,2026-09-13,5,,,,,,,,7,3.8,2025-26,,,Suppressed,10.3,2025-26,,,,https://skoleoversikten.no/skoler/974611384/vassoy-skole,974611384,False,False,58.9977,5.78584,"Sørstrandveien 38, 4076 VASSØY",107
973863843,Stavanger,Johannes læringssenter Flerspråklige Barn,Offentlig,public,2–10,False,192,2026-09-13,5,,,,,,,,7,,,,,Not available,13.11,2025-26,,,,https://skoleoversikten.no/skoler/973863843/johannes-laeringssenter-flerspraklige-barn,973863843,False,False,58.96731,5.75493,"Haugesundsgata 27, 4014 STAVANGER",108
973857770,Sandnes,Senter for Trygt og Godt Læringsmiljø,Offentlig,public,8–10,False,,2025-03-21,8,,,,,,,,10,,,,,Not available,,,,,,https://skoleoversikten.no/skoler/973857770/senter-for-trygt-og-godt-laeringsmiljo,973857770,False,False,58.86296,5.7023,"Sandnesveien 306, 4312 SANDNES",109
