Municipality,School,Organisation number,School year,Grade,Measure type,Measure,Value,Uncertainty ±,Suppressed,Source URL
Sola,Dysjaland skule,975275566,2022-23,8,National test,lesing,49,2.7,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,National test,lesing,54,2.5,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,National test,regning,50,2.6,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,National test,regning,55,2.2,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,National test,engelsk,50,2.8,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,5,National test,lesing,47,3.2,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,5,National test,regning,49,3.8,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,5,National test,engelsk,47,2.7,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,National test,lesing,46,2.4,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,National test,lesing,55,3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,National test,regning,47,2.2,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,National test,regning,56,3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,National test,engelsk,50,2.1,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,National test,lesing,42,3.3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,National test,regning,46,2.9,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,National test,engelsk,49,3.4,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,8,National test,lesing,46,2.3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,9,National test,lesing,50,3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,8,National test,regning,48,2.9,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,9,National test,regning,52,2.9,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,8,National test,engelsk,50,2.6,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,5,National test,lesing,44,2.4,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,5,National test,regning,48,3.6,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,5,National test,engelsk,50,3.7,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,8,National test,lesing,47,2.4,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,9,National test,lesing,50,2.8,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,8,National test,regning,48,3.1,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,9,National test,regning,50,2.9,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,8,National test,engelsk,50,2.7,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,5,National test,lesing,44,2.7,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,5,National test,regning,48,2.6,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,5,National test,engelsk,46,2.6,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,,Teacher ratio,Teacher ratio,14.14,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,,Teacher ratio,Teacher ratio,17.44,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,,Teacher ratio,Teacher ratio,18.51,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,,Teacher ratio,Teacher ratio,16.59,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,,Grade 10 points,Grade 10 points,42.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,,Grade 10 points,Grade 10 points,42.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,,Grade 10 points,Grade 10 points,42,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,,Grade 10 points,Grade 10 points,40.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,trivsel,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,motivasjon,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,mestring,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,stotteFraLarerne,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,vurderingForLaring,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,laringskultur,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,fagligUtfordring,4.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,stotteHjemmefra,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,elevdemokrati,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,fellesRegler,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,10,Survey,utdanningOgYrkesveiledning,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,trivsel,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,motivasjon,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,mestring,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,stotteFraLarerne,4.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,vurderingForLaring,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,laringskultur,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,fagligUtfordring,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,stotteHjemmefra,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,elevdemokrati,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2025-26,7,Survey,fellesRegler,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,trivsel,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,motivasjon,2.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,mestring,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,stotteFraLarerne,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,vurderingForLaring,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,laringskultur,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,fagligUtfordring,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,stotteHjemmefra,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,elevdemokrati,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,fellesRegler,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,10,Survey,utdanningOgYrkesveiledning,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,trivsel,4.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,motivasjon,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,mestring,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,stotteFraLarerne,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,vurderingForLaring,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,laringskultur,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,fagligUtfordring,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,stotteHjemmefra,4.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,elevdemokrati,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,7,Survey,fellesRegler,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,trivsel,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,motivasjon,3.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,mestring,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,stotteFraLarerne,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,vurderingForLaring,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,laringskultur,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,fagligUtfordring,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,stotteHjemmefra,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,elevdemokrati,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,fellesRegler,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,10,Survey,utdanningOgYrkesveiledning,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,trivsel,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,motivasjon,3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,mestring,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,stotteFraLarerne,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,vurderingForLaring,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,laringskultur,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,fagligUtfordring,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,stotteHjemmefra,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,elevdemokrati,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,fellesRegler,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,Survey,utdanningOgYrkesveiledning,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,trivsel,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,motivasjon,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,mestring,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,stotteFraLarerne,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,vurderingForLaring,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,laringskultur,3.6,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,fagligUtfordring,4.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,stotteHjemmefra,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,elevdemokrati,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,Survey,fellesRegler,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,trivsel,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,motivasjon,2.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,mestring,3.6,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,stotteFraLarerne,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,vurderingForLaring,3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,laringskultur,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,fagligUtfordring,3.6,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,stotteHjemmefra,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,elevdemokrati,3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,7,Survey,fellesRegler,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,trivsel,4.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,motivasjon,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,mestring,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,stotteFraLarerne,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,vurderingForLaring,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,laringskultur,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,fagligUtfordring,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,stotteHjemmefra,4.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,elevdemokrati,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,6,Survey,fellesRegler,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,trivsel,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,motivasjon,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,mestring,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,stotteFraLarerne,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,vurderingForLaring,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,laringskultur,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,fagligUtfordring,3.6,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,stotteHjemmefra,4.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,elevdemokrati,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,Survey,fellesRegler,4.6,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,trivsel,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,motivasjon,3.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,mestring,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,stotteFraLarerne,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,vurderingForLaring,3.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,laringskultur,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,fagligUtfordring,4.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,stotteHjemmefra,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,elevdemokrati,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,fellesRegler,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,10,Survey,utdanningOgYrkesveiledning,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,trivsel,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,motivasjon,3.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,mestring,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,stotteFraLarerne,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,vurderingForLaring,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,laringskultur,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,fagligUtfordring,4.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,stotteHjemmefra,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,elevdemokrati,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,fellesRegler,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,Survey,utdanningOgYrkesveiledning,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,trivsel,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,motivasjon,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,mestring,4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,stotteFraLarerne,4.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,vurderingForLaring,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,laringskultur,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,fagligUtfordring,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,stotteHjemmefra,4.1,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,elevdemokrati,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,Survey,fellesRegler,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,trivsel,,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,motivasjon,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,mestring,4.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,stotteFraLarerne,4.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,vurderingForLaring,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,laringskultur,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,fagligUtfordring,,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,stotteHjemmefra,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,elevdemokrati,3.4,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,7,Survey,fellesRegler,4.3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,trivsel,3.7,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,motivasjon,2.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,mestring,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,stotteFraLarerne,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,vurderingForLaring,3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,laringskultur,3.2,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,fagligUtfordring,3.5,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,stotteHjemmefra,3.8,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,elevdemokrati,3,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,6,Survey,fellesRegler,3.9,,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
